"Support","Confidence","Lift","Consequent","implies","Split Value 1","Split Value 2","Split Value 3","Split Value 4","Split Value 5"
0.07158006362672323,0.8132530120481928,1.6369212174203753,"00s","<---","pop","chart",,,
0.05249204665959703,0.7857142857142857,1.581491080957463,"00s","<---","rnb","hop","hall","dance","hip"
0.07635206786850478,0.7384615384615386,1.4863804285362454,"00s","<---","dance",,,,
0.061505832449628844,0.6823529411764706,1.3734446606817754,"00s","<---","rnb",,,,
0.061505832449628844,0.6666666666666666,1.3418712202063323,"00s","<---","hop","hip",,,
0.05408271474019088,0.6,1.207684098185699,"00s","<---","metal",,,,
0.053022269353128315,0.591715976331361,1.191009958763017,"00s","<---","rock","alternative",,,
0.057794273594909865,0.5618556701030928,1.1309069304316255,"00s","<---","alternative",,,,
0.08960763520678686,0.5540983606557377,1.1152929649911647,"00s","<---","indie",,,,
0.08907741251325557,0.5526315789473684,1.1123406167499859,"00s","<---","rock","indie",,,
