"Support","Confidence","Lift","Consequent","implies","Split Value 1","Split Value 2","Split Value 3","Split Value 4","Split Value 5"
0.26458112407211026,0.7403560830860533,1.5566461234117017,"rock","<---","pop",,,,
0.26458112407211026,0.556298773690078,1.5566461234117017,"pop","<---","rock",,,,
0.22481442205726404,0.9929742388758782,2.087791989431334,"rock","<---","classic",,,,
0.2163308589607635,0.8176352705410822,3.6113820146147098,"classic","<---","pop","rock",,,
0.2163308589607635,0.9622641509433962,2.692626392699177,"pop","<---","rock","classic",,,
0.2163308589607635,1.0,2.1025641025641026,"rock","<---","pop","classic",,,
0.16118769883351008,0.9967213114754099,2.095670449768811,"rock","<---","indie",,,,
0.14050901378579003,0.916955017301038,5.922524529553965,"british","<---","uk",,,,
0.14050901378579003,0.9075342465753425,5.922524529553965,"uk","<---","british",,,,
0.13732767762460232,0.5581896551724137,1.173629531388152,"rock","<---","american",,,,
0.11770943796394485,0.7681660899653978,1.6151184455682723,"rock","<---","uk",,,,
0.11187698833510074,0.7962264150943396,6.9845721807810435,"english","<---","uk","british",,,
0.11187698833510074,1.0,6.525951557093425,"uk","<---","english","british",,,
0.11187698833510074,1.0,6.458904109589041,"british","<---","uk","english",,,
0.10975609756097561,0.7089041095890412,1.4905163329820865,"rock","<---","british",,,,
0.10604453870625663,0.9661835748792271,6.305267204921184,"uk","<---","rock","british",,,
0.10604453870625663,0.9009009009009009,5.8188325311612985,"british","<---","rock","uk",,,
0.10604453870625663,0.7547169811320755,1.5868408321238512,"rock","<---","uk","british",,,
0.09809119830328739,0.6401384083044982,1.791247830952943,"pop","<---","uk",,,,
0.09225874867444327,1.0,10.839080459770114,"hip","<---","hop",,,,
0.09225874867444327,1.0,10.839080459770114,"hop","<---","hip",,,,
0.09066808059384941,0.5856164383561644,1.6386833868541928,"pop","<---","british",,,,
0.08960763520678686,0.8711340206185567,1.8316151202749142,"rock","<---","alternative",,,,
0.08960763520678686,0.7860465116279071,1.6527131782945739,"rock","<---","english",,,,
0.088016967126193,1.0,2.7982195845697326,"pop","<---","chart",,,,
0.08748674443266172,0.825,7.236976744186046,"english","<---","rock","uk","british",,
0.08748674443266172,1.0,6.525951557093425,"uk","<---","rock","english","british",,
0.08748674443266172,1.0,6.458904109589041,"british","<---","rock","uk","english",,
